tipo_grafo,busca_gulosa_seq_10%,busca_DSATUR_10%,busca_BTDSATUR_10%,busca_gulosa_seq_25%,busca_DSATUR_25%,busca_BTDSATUR_25%,busca_gulosa_seq_50%,busca_DSATUR_50%,busca_BTDSATUR_50%,busca_gulosa_seq_75%,busca_DSATUR_75%,busca_BTDSATUR_75%
1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,2,1,2,1,1,1,2,1,2,2,1
3,1,2,1,2,2,2,2,2,3,2,3,3
4,1,1,2,2,2,2,3,2,2,2,2,3
5,2,1,2,2,2,3,3,2,4,2,3,3
6,2,2,2,2,3,2,3,3,2,4,5,4
7,1,2,2,2,3,2,4,4,3,4,5,5
8,3,2,2,2,3,2,4,4,4,4,6,5
9,2,2,2,2,2,2,4,4,4,7,6,5
10,3,2,2,3,2,3,4,4,4,5,6,5
11,2,2,2,3,3,3,5,4,5,5,6,7
12,3,2,2,3,3,3,4,4,4,7,6,7
13,2,3,2,3,3,3,5,4,4,8,6,6
14,3,3,2,4,3,3,5,5,4,8,7,7
15,2,3,2,3,4,3,5,6,5,8,8,7
16,3,2,3,3,3,3,5,5,5,8,8,9
17,3,3,3,4,3,3,6,6,5,8,8,9
18,3,2,3,4,4,4,6,6,5,9,8,8
19,3,3,3,5,4,4,6,6,5,9,8,8
20,3,2,3,5,4,4,7,7,5,9,11,8
21,3,3,3,5,4,4,7,5,5,10,10,8
22,3,3,3,4,5,4,7,6,6,8,9,10
23,3,3,3,4,4,4,6,7,6,9,11,9
24,3,3,3,4,4,4,7,7,6,10,10,9
25,3,3,3,5,5,4,9,7,6,10,10,9
26,3,3,2,4,5,4,7,9,6,11,10,8
27,3,3,3,6,5,4,7,8,7,12,12,10
28,3,3,3,5,5,4,8,8,7,9,10,10
29,3,4,3,5,5,4,7,8,8,10,12,10
30,3,4,3,5,5,5,9,8,6,13,12,12
31,3,3,4,6,5,4,9,9,7,12,13,11
32,3,3,3,6,6,5,9,9,7,12,11,11
33,4,4,3,6,6,5,9,8,8,12,15,12
34,4,3,3,6,5,4,9,8,8,13,13,12
35,3,3,3,6,6,5,9,10,8,16,14,12
36,4,3,4,6,5,5,10,9,8,14,14,13
37,4,5,3,6,6,5,10,9,8,14,13,14
38,3,3,3,5,6,6,10,10,8,14,15,13
39,4,4,3,6,6,5,10,10,8,15,14,13
40,4,4,3,7,6,5,12,10,9,16,16,13
41,4,4,4,7,7,5,10,11,9,17,16,13
42,3,5,3,7,7,5,12,10,9,15,17,13
43,4,4,4,6,7,5,11,11,8,17,17,14
44,4,4,3,7,6,5,9,12,9,17,17,14
45,4,4,4,7,7,6,12,12,9,17,16,15
46,5,4,4,7,7,5,11,12,9,16,19,15
47,4,4,3,7,7,6,14,11,9,18,17,14
48,4,4,4,6,7,6,11,11,9,18,18,15
49,4,4,4,7,7,6,11,13,9,19,19,15
50,4,4,3,7,8,6,11,12,9,19,16,14
