nome;horario;dias;periodos;cursos;nome_variavel
Cálculo em uma Variável;9h20;seg,qua,sex;1;CD,MAp;CUV
Linguagens de Programação;7h30;seg,qua,sex;2;CD,MAp;LP
Cálculo em Várias Variáveis;9h20;seg,qua,sex;2;CD,MAp;CVV
Algebra Linear;11h10;seg,qua,sex;2;CD,MAp;AL
Análise Exploratória de Dados e Visualização;9h20;ter,qui;2;CD;AEDV
Modelagem de Fenômenos Físicos;9h20;ter,qui;2;MAp;MFF
Matemática Discreta;11h10;ter,qui;2;CD,MAp;MD
Projeto e Análise de Algoritmos;7h30;seg,qua;4;CD;PAA
Ciência de Redes;9h20;seg,qua;4,6;CD;CR
Modelagem Informacional;11h10;seg,qua;4;CD;MI
Inferência Estatística;9h20;ter,sex;4;CD,MAp;IE
Otimização para Ciência de Dados;11h10;ter,qui;4;CD;OCD
História da Matemática;11h10;seg,qua;;MAp;HM
Análise na Reta;14h20;seg,qua,sex;4;MAp;AR
Algebra e Criptografia;7h30;ter,qui;4, 8;MAp;AC
Engenharia de Software;7h30;ter,qui;6;CD;ES
Aprendizado Profundo;9h20;ter,qui;6;CD;AP
Séries Temporais;11h10;ter,qui;6;CD;ST
Processos Estocásticos;9h20;seg,qua;6;MAp;PE
Equações Diferenciais Parciais;9h20;ter,qui;6;MAp;EDP
Introdução à Análise Numérica;11h10;ter,qui;6;MAp;IAN
Ética na Manipulação de Dados;11h10;ter,qui;8;CD;EMD
Otimização Contínua;11h10;seg,qua;8;MAp;OC
